id,univ_name_cn,univ_name_en,shanghairank_2025,Inst_type,tool_name,check_level,threshold,policy_summary,check_framework(0/1),tool_specified(0/1),linked_to_pass(0/1),source_url,Rationale,policy_scope,release_date,retrieval_rd1(2025.5.6-5.29),retrieval_rd1(2025.6.1-6.14),retrieval_rd1(6.18-7.11),snapshot_filename
11,北京航空航天大学,Beihang University,11,science and engineering universities,,,,,0,0,0,,,university-level,,2025/5/8,2025/6/3,2025/6/19,
12,中山大学,Sun Yat-sen University,12,comprehensive universities,,,,,0,0,0,,,university-level,,2025/5/8,2025/6/3,2025/6/20,
13,北京理工大学,Beijing Institute of Technology,13,comprehensive universities,,,,,0,0,0,,,university-level,,2025/5/9,2025/6/3,2025/6/20,
14,北京协和医学院,Peking Union Medical College,医1,medical universities,,,,,0,0,0,,,university-level,,2025/5/9,2025/6/3,2025/6/20,
15,哈尔滨工业大学,Harbin Institute of Technology,14,science and engineering universities,,,,,0,0,0,,,college-level,,2025/5/9,2025/6/3,2025/6/20,
16,四川大学,Sichuan University,15,comprehensive universities,,undergraduate,"III. The AIGC detection process for the 2025 undergraduate graduation theses (designs) will commence on April 10 and conclude by mid-May. Specific arrangements are to be formulated independently by each school and communicated to every graduating student and their supervising instructor.
Schools may independently select AIGC detection tools and must conduct 100% detection on undergraduate graduation theses (designs), with schools retaining the detection results for future reference. In accordance with the spirit of the document Sichuan University Undergraduate Education and Teaching Artificial Intelligence Tool Application Regulations (Trial) (University Education [2025] No. 28), in principle, the proportion of AI-generated content in humanities and social sciences graduation theses (designs) should not exceed 20%, while in science, engineering, and medical fields, it should not exceed 15%. Schools are requested to refer to these ratios and notify the relevant supervisors and students to address graduation theses (designs) with detected AIGC proportions exceeding these thresholds. It is recommended that students within the same school use the same AIGC detection tool to facilitate the collection and comparison of detection results.","IV. Schools must strengthen academic integrity education, and graduation thesis (design) supervisors must enhance guidance and oversight to prevent academic misconduct such as plagiarism and appropriation.
Any violations arising from the use of AI tools will be addressed in accordance with the Sichuan University Undergraduate Education and Teaching Artificial Intelligence Tool Application Regulations (Trial) (University Education [2025] No. 28).",1,0,1,https://jwc.scu.edu.cn/info/1047/9802.htm,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses, as the original text clearly mandates a university-wide AIGC detection process for 2025 undergraduate graduation theses (designs), specifying 100% detection coverage and a defined implementation period from April 10 to mid-May, thus establishing a formal mandatory detection framework; Tool specified is coded as 0: The university does not specify any specific AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection), as the original text only states that colleges can independently select AIGC detection tools and suggests unified tool use within the same college for result collection, without mentioning any designated or specific detection tool; Linked to pass is coded as 1: AIGC detection results do directly affect thesis approval.",university-level,2025/4/9,2025/5/9,2025/6/4,2025/6/20,四川大学关于开展2025届本科毕业论文（设计）学术不端行为检测工作的通知-四川大学教务处.mhtml
17,东南大学,Southeast University,16,comprehensive universities,VIPS AIGC Detection System,undergraduate,"China National Knowledge Infrastructure (CNKI) has not been integrated with our university's graduation project system. All three plagiarism checks will be conducted within the CNKI Undergraduate Thesis Detection System (external to the graduation project system) at the URL: [https://pmlc.cnki.net/index.html?domin=seu](https://pmlc.cnki.net/index.html?domin=seu). The username is your campus card number, and the initial password is ""a"" followed by your student ID (e.g., if your student ID is 01111111, the password is a01111111). After logging in, you may submit your thesis for plagiarism detection and view the detection report. Students must upload their plagiarism detection report as an attachment in the graduation project system, as it serves as the basis for thesis review.","Considering the differences across disciplines, the similarity check rate for undergraduate theses at our university is determined independently by each school based on the specific requirements of their respective fields. Students are advised to consult their respective schools for the specific similarity check rate requirements.

. VIPS (Weipu) Paper Detection System

Students are provided with 1 similarity check opportunity + 1 AIGC check opportunity (external to the graduation project system; please refer to Attachment 1 for the external system operation manual). The website is: [https://vpcs.fanyu.com/personal/seu](https://vpcs.fanyu.com/personal/seu), Username: Campus Card Number, Initial Password: a + Student ID (e.g., if the student ID is 01111111, the password is a01111111).

Additionally, upon submitting the final draft in the graduation project system, 2 similarity check opportunities are granted. The system automatically integrates the VIPS paper detection service. After submitting the final thesis, students can click the ""Submit for Similarity Check"" button, and the system will automatically perform the similarity check and return the detection results and report. Instructors can view the students' paper detection results on the graduation project system interface. For steps and common issues regarding the VIPS similarity check within the system, please refer to Attachment 2: Thesis Submission, Similarity Check Steps, and Common Issues (for Students).",1,1,1,https://jwc.seu.edu.cn/2024/0424/c21681a488726/page.htm,"Check framework is coded as 1: The university explicitly requires AIGC detection for graduation theses. The original text says each undergraduate student gets 1 AIGC check, so there is a formal mandatory detection framework.Tool specified is coded as 1: The university clearly names a specific AIGC detection tool. It specifies the ""Vipshop Paper Detection System (VPCS)"" and provides details like the website, username and initial password.Linked to pass is coded as 1: AIGC detection results do directly affect thesis approval.",university-level,2024/4/24,2025/5/10,2025/6/4,2025/6/20,东南大学关于2024届本科毕业设计（论文）报告提交及查重检测工作的说明.mhtml
18,中国人民大学,Renmin University of China,17,comprehensive universities,,,,,0,0,0,,,college-level,,2025/5/10,2025/6/4,2025/6/20,
19,同济大学,Tongji University,18,comprehensive universities,,,,,0,0,0,,,college-level,,2025/5/10,2025/6/4,2025/6/20,
20,北京师范大学,Beijing  Normal University,19,normal (teacher education) universities,,,,,0,0,0,,,college-level,,2025/5/10,2025/6/4,2025/6/20,
21,天津大学,Tianjin University,20,science and engineering universities,,,,,0,0,0,,,university-level,,2025/5/11,2025/6/4,2025/6/20,
22,西北工业大学,Northwestern Polytechnical University,21,science and engineering universities,,,,,0,0,0,,,university-level,,2025/5/11,2025/6/4,2025/6/20,
23,山东大学,Shangdong University,22,comprehensive universities,,,,"3. Regulating the Use of Artificial Intelligence
   In the process of writing the graduation thesis (design), students should use AI writing tools effectively and reasonably, treating them solely as supplementary aids to ensure the independent creation of the core content of the thesis. If AI writing tools are utilized, the usage must be explicitly documented in relevant sections of the thesis, such as the references or acknowledgments. Any act of using AI writing tools to ghostwrite a thesis, once discovered and verified, will be regarded as academic misconduct. The university will consequently revoke the student's graduation and degree-granting eligibility. If a degree has already been conferred, the university will annul the degree in accordance with regulations, revoke the graduation qualification, and recall the academic and degree certificates.

4. Trial of AI Teaching Assistant Tutoring
   Both teachers and students may trial AI teaching assistant tutoring to assist in revising and improving the graduation thesis (design) based on practical needs.  
   (Reference notice: [https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=37333](https://www.bkjx.sdu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1014&wbnewsid=37333))",0,0,0,https://www.pharm.sdu.edu.cn/bkjy/info/1011/2006.htm,"Check framework is coded as 0: The university does not explicitly require AIGC detection for graduation theses. The original text only talks about standardizing the use of AI writing tools and trying AI teaching assistants, but does not mention mandatory AIGC detection.Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text does not name or indicate any particular AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection).Linked to pass is coded as 0: AIGC detection results do not directly affect thesis approval, defense eligibility or degree conferral. The text only states that using AI tools to ghostwrite papers is academic misconduct and will lead to penalty, but there is no link between AIGC detection results and graduation requirements.",university-level,2025/4/8,2025/5/11,2025/6/5,2025/6/20,
24,南开大学,Nankai University,23,comprehensive universities,,,,"6. Standardizing the Use of AI Writing Tools

During the graduation thesis (design) process, AI writing tools may only be utilized for auxiliary tasks such as data retrieval and data processing. Their direct application to thesis writing is strictly prohibited. Any instance of AI writing tools being directly employed for thesis writing, once discovered and verified, will be classified as ghostwriting and constitute academic misconduct. The university will subsequently revoke the offending student's graduation and degree eligibility.",0,0,0,https://jwc.nankai.edu.cn/2024/1128/c36069a557776/page.htm,"Check framework is coded as 0: The university does not explicitly require AIGC detection for graduation theses. The original text only regulates that AI writing tools can only be used for auxiliary work like data retrieval and prohibits direct use in thesis writing. It does not mention mandatory AIGC detection for graduation theses.Tool specified is coded as 0: The university does not specify any specific AIGC detection tool. The text does not name or indicate any particular AIGC detection tool (e.g., CNKI AI Check, Turnitin AI detection) at all.Linked to pass is coded as 0: AIGC detection results do not directly affect thesis approval, defense eligibility or degree conferral. The text only states that direct use of AI writing tools in thesis writing is academic misconduct and will lead to cancellation of graduation and degree qualifications. It does not link AIGC detection results to graduation requirements like thesis approval or defense eligibility.",university-level,2024/11/28,2025/5/11,2025/6/5,2025/6/20,
25,厦门大学,Xiamen University,24,comprehensive universities,,,,,0,0,0,,,college-level,,2025/5/12,2025/6/5,2025/6/20,
