"id","univ_name_cn","univ_name_en","sample_group","source_url","markdown_relpath","text_source_used","d1_harmonized","d1_harmonized_basis","d1_harmonized_evidence","d2_harmonized","d2_harmonized_basis","d2_harmonized_evidence"
86,"西北农林科技大学","Northwest A&F University","mandated_detection","https://cmee.nwsuaf.edu.cn/xwzx/xytz/52e119da18b34a6b8209c6aa20023ad2.htm","00_source_material/04_policy_markdown/01_chinese_original/71_西北农林科技大学机械与电子工程学院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
87,"北京工业大学","Beijing University of Technology","mandated_detection","https://undergrad.bjut.edu.cn/info/1216/3215.htm","00_source_material/04_policy_markdown/01_chinese_original/72_关于开展2025届本科生毕业设计（论文）工作的通知-北京工业大学教务处.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
91,"中国地质大学（北京）","China University of Geosciences, Beijing","mandated_detection","https://jwc.cugb.edu.cn/c/2025-05-14/826040.shtml","00_source_material/04_policy_markdown/01_chinese_original/75_中国地质大学（北京）教务处.md","policy_markdown",1,"markdown_direct","2.账号： 学生账号和初始密码均为学号，教师账号和初始密码均为工号。 3.检测方式 即日起至2025年5月30日，每位2025届毕业生可试用1次，登录网址上传论文，检测完成后可直接查看AI智评结果、AIGC检测结果。 学生检测完成后，指导教师也可登录系统查看结果。 检测结果不作为毕业设计（论文）质量检查依据。 三、咨询方式 技术问题咨询 电话: 010-82928900，邮箱： service@huaczy.com 其他事项咨询 电话：010-82323952 - 教育部 - 北京市教委 - 版权所有:中国地质大学（北京） - 地址:北京市海淀区学院路29号 - 邮",0,"markdown_direct",""
92,"中国矿业大学（北京）","China University of Mining and Technology-Beijing","non_detection_governance","https://xxgk.cumtb.edu.cn/info/1251/1572.htm",,"threshold_plus_policy_summary",0,"fallback_summary","",0,"fallback_summary",""
96,"福州大学","Fuzhou University","mandated_detection","https://jzxy.fzu.edu.cn/info/1013/3232.htm","00_source_material/04_policy_markdown/01_chinese_original/77_关于做好2025届本科生毕业设计（论文）工作的通知-福州大学-建筑与城乡规划学院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
99,"华南师范大学","South China Normal University","mandated_detection","http://em.scnu.edu.cn/a/20250314/10543.html","00_source_material/04_policy_markdown/01_chinese_original/80_关于加强2025届本科毕业论文（设计）规范管理的通知 - 本科培养 - 华南师范大学经济与管理学院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
103,"东北财经大学","Dongbei University of Finance and Economics","mandated_detection","https://surrey.dufe.edu.cn/content_91162.html","00_source_material/04_policy_markdown/01_chinese_original/财6_关于开展2025届本科生毕业论文(设计)检测工作的通知 -- 通知公告 -- 东北财经大学萨里国际学院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
104,"江苏大学","Jiangsu University","mandated_detection","https://jwc.ujs.edu.cn/__local/4/ED/24/AA9B4251DB4F3F7C7456155F3BE_943364B4_2115F.pdf","00_source_material/04_policy_markdown/01_chinese_original/82_AA9B4251DB4F3F7C7456155F3BE_943364B4_2115F.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
106,"华北电力大学","North China Electric Power University","mandated_detection","https://yjsy.ncepu.edu.cn/tzgg/9f64c23df5914e53b821a413943280db.htm","00_source_material/04_policy_markdown/01_chinese_original/83_关于对我校2024届毕业研究生学位论文进行AI检测的通知 华北电力大学研究生院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
111,"重庆医科大学","Chongqing Medical University","mandated_detection","https://jwc.cqmu.edu.cn/info/1007/3361.htm","00_source_material/04_policy_markdown/01_chinese_original/医11_关于做好2025届本科生毕业论文（设计）质量管理的通知-重庆医科大学教务处.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
116,"南京林业大学","Nanjing Forestry University","mandated_detection","http://jwc.njfu.edu.cn//sjjx/bysjlw/20250424/i338126.html","00_source_material/04_policy_markdown/01_chinese_original/90_关于做好2025届本科毕业论文（设计）检测工作的通知-毕业论文（设计）-南京林业大学教务处.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
118,"浙江师范大学","Zhejiang Normal University","mandated_detection","https://smxy.zjnu.edu.cn/2025/0416/c17162a515544/page.htm","00_source_material/04_policy_markdown/01_chinese_original/92_关于2025届本科毕业论文中后期工作的通知.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
119,"海南大学","Hainan University","mandated_detection","https://jwc.hainanu.edu.cn/__local/1/04/AA/FD034AC1081D9280A636BC5666B_1D7E8AAB_1BE81.pdf","00_source_material/04_policy_markdown/01_chinese_original/93_海南大学教务处.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
120,"南京工业大学","Nanjing Tech University","mandated_detection","https://jwc.njtech.edu.cn/info/1160/5987.htm","00_source_material/04_policy_markdown/01_chinese_original/94_关于做好2025届本科毕业设计（论文）查重和AIGC检测工作的通知-教务处.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
121,"南京中医药大学","Nanjing University of Chinese Medicine","mandated_detection","https://jwc.hlxy.edu.cn/info/1172/6323.htm","00_source_material/04_policy_markdown/01_chinese_original/中医3_关于做好2025届本科生毕业设计（论文）学术不端行为检测相关工作的通知-南京中医药大学翰林学院 教务处.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
122,"南京信息工程大学","Nanjing University of Information Science & Technology","mandated_detection","https://ycxy.nuist.edu.cn/2025/0106/c73a281139/pagem.htm","00_source_material/04_policy_markdown/01_chinese_original/95_关于做好2025届本科毕业论文（设计）工作的通知.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
123,"广东工业大学","Guangdong University of Technology","mandated_detection","https://qghgxy.gdut.edu.cn/info/1105/11933.htm","00_source_material/04_policy_markdown/01_chinese_original/96_关于做好2025届本科毕业设计（论文）工作的通知-广东工业大学轻工化工学院.md","policy_markdown",0,"markdown_direct","",0,"markdown_direct",""
